file,410pred,410err,410amp,410qual,660pred,660err,660amp,660qual
n45_296.38,-156.595175198,0.197517276987,99.60435621059999,0.9275,-229.518446944,0.19928569197,85.5024666122,0.805
n45_317.55,-154.886750034,0.105388729353,250.699013036,0.925,-229.273151025,0.182970288828,155.651069247,0.79
n45_338.72,-157.059739981,0.126846983508,736.490244196,1.0,-229.454536058,0.139225247178,557.8421382519999,0.9075
n45_42.34,-155.927531452,0.119933332314,251.542897914,0.7575,-226.681737332,0.175802388297,275.089697513,0.92
n45_63.51,-154.701081889,0.0907338749396,203.08245783099997,0.7025,-225.36220237,0.289414872216,206.85429873900003,1.025
n45_84.68,-156.182478817,0.11729467104699999,274.702482201,0.76,-227.333677843,0.151752868898,311.66706268900003,0.93
n60_0,-157.587872181,0.0978245799814,675.009788573,0.8725,-229.087776561,0.138648728291,524.677572046,0.94
n60_120.00,-154.77794404600002,0.156460538015,235.436199618,0.9525,-226.740725364,0.158717791533,202.789355894,0.925
n60_150.00,-154.703013951,0.101859243687,136.050975621,0.68,-228.48964843299999,0.194194736959,123.00065894299999,0.9725
n60_180.00,-156.705428208,0.0590022858325,176.616025786,0.6875,-226.978980802,0.09725382936280001,234.03116927599999,0.8875
n60_210.00,-157.439821745,0.052038683576800006,420.16073140699996,0.62,-227.41386836900003,0.18157660091699998,437.25206841,0.8575
n60_240.00,-157.39715182,0.05069880050699999,321.401253965,0.6525,-226.907480951,0.105460558341,283.421993152,0.9175
n60_270.00,-156.71045346,0.061746866426999995,120.79648971200001,0.6125,-227.364998783,0.21189877090300002,106.04528796299999,0.915
n60_30.00,-154.185454066,0.182291552318,224.288709514,0.71,-225.596029839,0.152914128179,197.40938231400003,0.91
n60_300.00,-155.75492175899998,0.189674558881,163.42896618700001,0.8825,-228.94342321,0.179307535823,114.550250295,0.9075
n60_330.00,-157.20567272600002,0.10418176600500001,717.534031273,0.8875,-229.5301824,0.177488959532,534.6575157359999,0.9575
n60_60.00,-154.565115127,0.240238535964,292.993857332,0.825,-226.01102143900002,0.116803183255,264.482398498,0.88
n60_90.00,-155.218761075,0.148544053713,293.38759425,0.88,-226.773388475,0.12486228526399999,289.64030763,0.905
n75_0,-154.027207576,0.122624411552,184.12821152,0.7125,-225.929318775,0.18642920861499998,202.34139990900002,0.9375
n75_120.00,-153.915797688,0.168554377381,269.752832494,0.805,-225.85112912900001,0.0930532446225,225.481759615,0.8025
n75_180.00,-154.433793315,0.0946276354634,228.035051738,0.9525,-224.88930440599998,0.128415755398,239.44624239599997,0.945
n75_240.00,-154.782463334,0.0788061760895,170.04631861299998,0.7475,-224.57300860900003,0.108026079482,178.349839139,0.9025
n75_300.00,-155.61929085,0.119783287238,135.843500991,0.8275,-226.21880074400002,0.147878995214,107.567121301,0.7875
n75_60.00,-154.809138411,0.22182219935199998,258.55314947799997,0.7575,-226.31919052599997,0.168931076955,242.679611932,0.9325
n90_0,-153.392303135,0.131290007834,180.441135022,0.7475,-225.52770168200001,0.12346659208900002,190.377001311,0.93
