file,410time,410error,410quality,660time,660error,660quality
20010802A.kamchatka.BUTA.BHT,-152.51256110081084,0.2417579715604521,0.6425,-224.9482529707603,0.2914670531705895,0.8
20010902A.pacific.ULN.BHT,-154.55585683934987,0.1008881786286527,0.9125,-236.7278658735597,0.10759620691720673,0.6675
20010902A.pacific.VSL.BHT,-170.40263361965887,0.19196516567032101,0.6325,-238.5731208722536,0.15802936352780722,0.85
20010902A.pacific.XAN.BHT,-157.1311256497342,0.17783789854529922,0.6175,-228.1123732320202,0.4618192907698701,0.855
20010929A.vanuatu.WDD.BHT,-163.3418264017719,0.19227357733882489,0.6,-241.86473872450944,0.23627371710259226,0.6125
20011120A.banda.BNI.BHT,-148.27333281230426,0.3664317693302053,0.735,-219.90539792833562,0.11432201827794553,0.6975
20011203A.fiji.DRLN.BHT,-158.5211937052089,0.08323629978061263,0.8175,-227.38209520921865,0.17919304223860855,0.685
20020102A.vanuatu.GVD.BHT,-161.74774176544295,0.13594114060939386,0.7875,-240.5599999693485,0.06986344036805962,0.6825
20020103A.vanuatu.BINY.BHT,-159.8160166361981,0.13442185983901409,0.7925,-231.30273859042168,0.10073980368516484,0.8125
20020110A.newguinea.WLF.BHT,-159.91779416186927,0.1908953357940781,0.6875,-224.47717348427952,0.18141962413280469,0.745
20020215A.easterisland.JER.BHT,-163.21579704665913,0.1208869154448486,0.66,-225.71741826935425,0.2690495972918272,0.7425
20020407A.macquarie.CHF.BHT,-165.21559876648115,0.12495864866163033,0.8675,-222.12626843626686,0.1733724649027903,0.82
20020407A.macquarie.NEW.BHT,-159.49089780197383,0.21008209448066856,0.78,-232.54575163474624,0.11546751004988973,0.865
20020408A.india.CRY.BHT,-149.94138365043028,0.391702081238623,0.7525,-237.21365789092445,0.25750291439778344,0.615
20020408A.india.GRC.BHT,-157.87277906009928,0.24440336465240545,0.7425,-237.79729572174458,0.1309465431258309,0.7225
20020514A.indianridge.DRLN.BHT,-162.14156166855577,0.18940084140225671,0.715,-240.3027595333313,0.15442872064857915,0.6625
20020622A.iran.UNM.BHT,-159.754503206118,0.08570934647854599,0.615,-217.83468754066726,0.12179608922324305,0.71
20020719A.pacific.GRFO.BHT,-166.1279327228956,0.11056178730633463,0.695,-242.7909944544496,0.10967635190805464,0.62
20020719A.pacific.SSB.BHT,-169.40201635506608,0.09305622391909683,0.6625,-241.26096022270698,0.1286901038397805,0.8825
